Site,Old_Lat,Old_Long,Centred_Lat,Centred_Long
EPF,-41.77497,147.3183,-41.77436,147.30944
TMP,-43.144035,147.962669,-43.14367,147.9627
MER,-41.56674,146.24294,-41.58562,146.2445
DOG,-41.5385778,146.324706,-41.53955,146.32449
GRA,-42.55066,147.45885,-42.53736,147.45771
FREY,-41.94839,148.13788,-41.91803,148.2192
BOF,-41.186032,148.189604,-41.18845,148.17398
