Site,Focal_sp,Plot,Tree,Period,Growth,preceding_dbh,growth_no_negs,growth_rate,total_nbh_ba,number_neighbours,total_nci,intra_nci,inter_nci,PC1,PC2,log_total_nci,log_p1_intra_nci,log_p1_inter_nci,std_total_nci,plot_intra_nci,plot_inter_nci,std_intra_nci,std_inter_nci,std_preceding_dbh,std_PC1,std_PC2,site_climate
EPF,AMYG,A,1,1,44.01,269,44.01,0.11798927613941018,0.9171879752155401,3,40.404761904761905,0,40.404761904761905,-0.3174072086519978,2.309064807652367,3.698947646950858,0,3.723395896070915,-0.8611650067903743,-5.876321595436587,-0.8280172552247665,-1.3948497118424814,-0.1432659595715126,-0.9508848534817508,0.1362613643206546,2.261483161872899,dry
EPF,AMYG,A,2,1,12.34,428,12.34,0.033083109919571044,0.35413995886672645,8,40.74348717254784,40.19403662309729,0.5494505494505495,-0.3174072086519978,2.309064807652367,3.707296002927101,3.718293503721491,0.43790038386131824,-0.8498460273197858,-0.8349352489493238,-5.282601649953408,0.8765726132783592,-3.2767183342363633,0.4511985858411833,0.1362613643206546,2.261483161872899,dry
EPF,AMYG,A,3,1,25.73,513,25.73,0.06898123324396783,0.2618030529905786,10,26.177579365079364,14.883928571428571,11.293650793650793,-0.3174072086519978,2.309064807652367,3.2649032949800363,2.7653078163707407,2.5090829334653906,-1.449656815628366,-2.1270250282524774,-2.4744232702192535,0.29441497467273836,-1.3013840644730215,1.2007400471144498,0.1362613643206546,2.261483161872899,dry
EPF,AMYG,A,4,1,49.51,343,49.51,0.13273458445040215,0.10644108609443917,5,13.048737373737373,0,13.048737373737373,-0.3174072086519978,2.309064807652367,2.5686913761175156,0,2.642532525103597,-2.3936041555848053,-5.876321595436587,-2.2934878630073685,-1.3948497118424814,-1.1741101302177988,-0.2983428754320833,0.1362613643206546,2.261483161872899,dry
EPF,AMYG,A,5,1,26.76,218,26.76,0.07174262734584451,0.2788752528683489,14,39.932396270042744,9.521645021645021,30.410751248397727,-0.3174072086519978,2.309064807652367,3.687187931046165,2.353434565963717,3.447150230755709,-0.8771092218291157,-2.6854565181300525,-1.202560341724665,0.04281081939068277,-0.4067277822268901,-1.4006097302457108,0.1362613643206546,2.261483161872899,dry
EPF,AMYG,A,6,1,46.6,175,46.6,0.12493297587131368,0.29519504130558455,15,33.142039094365074,28.85687099560121,4.285168098763865,-0.3174072086519978,2.309064807652367,3.5008025398087734,3.3964149974575575,1.6649044255834275,-1.1298167516753805,-1.2713488631738596,-3.6189886466142664,0.6799442340574354,-2.106496456297533,-1.7797895283015985,0.1362613643206546,2.261483161872899,dry
EPF,AMYG,A,7,1,36.89,221,36.89,0.09890080428954423,0.20302542523824038,11,20.460841182209645,8.79360256041427,11.667238621795377,-0.3174072086519978,2.309064807652367,3.0185128731783264,2.2817293725521313,2.5390190243911155,-1.7837211672276039,-2.7826768109002686,-2.433834919700635,-9.922792563633528e-4,-1.2728333284118085,-1.3741553257301837,0.1362613643206546,2.261483161872899,dry
EPF,AMYG,A,8,1,11.78,676,11.78,0.031581769436997316,0.3116067213279376,5,14.708920187793426,3.4333333333333336,11.275586854460093,-0.3174072086519978,2.309064807652367,2.6884541252427665,1.4891517465595985,2.5076124814550935,-2.2312258259415083,-3.8572799906145425,-2.4764169580979694,-0.48516022142362053,-1.3027864682585,2.63809602579142,0.1362613643206546,2.261483161872899,dry
EPF,AMYG,B,1,1,4.9,361,4.9,0.013136729222520108,1.041254966892945,12,59.79925298267441,39.68622690416144,20.11302607851297,-1.9562213824706531,-0.5030101563820399,4.09099316895004,3.7058896298733948,3.049890199692649,-0.329616612391171,-0.8517528348119663,-1.7411787414292481,0.8689953642128001,-0.7856037791862693,-0.13961644833892098,-0.8139296588335326,-0.5419448634119063,dry
EPF,AMYG,B,2,1,13.68,361,13.68,0.036675603217158174,0.1600861368489751,11,15.586238319334885,6.617903780068729,8.968334539266158,-1.9562213824706531,-0.5030101563820399,2.7463883659072463,2.0305012373739584,2.2994135228047776,-2.152676650200622,-3.123300295644835,-2.758700050178262,-0.15446192719325763,-1.501350587113995,-0.13961644833892098,-0.8139296588335326,-0.5419448634119063,dry
EPF,AMYG,B,3,1,16.62,331,16.62,0.044557640750670244,0.4273265013247542,9,19.749124247400108,3.6,16.14912424740011,-1.9562213824706531,-0.5030101563820399,2.9831091484602075,1.5260563034950492,2.841947108016585,-1.83172271800085,-3.807243561464629,-2.023114920532064,-0.46261605312760573,-0.9839238718438627,-0.4041604934941916,-0.8139296588335326,-0.5419448634119063,dry
EPF,AMYG,B,4,1,4.66,354,4.66,0.012493297587131368,1.2554267628661218,9,62.00398016729286,53.7550694919116,8.248910675381264,-1.9562213824706531,-0.5030101563820399,4.127198579231259,4.002869957869673,2.2245057797658654,-0.28052810959330765,-0.4490970010975847,-2.860262466546035,1.050414003289384,-1.5727918185610614,-0.20134339220848413,-0.8139296588335326,-0.5419448634119063,dry
EPF,AMYG,B,5,1,7.95,382,7.95,0.02131367292225201,1.4982993639243318,30,81.8448716570946,41.973965002134015,39.87090665496059,-1.9562213824706531,-0.5030101563820399,4.404825646473573,3.7605944672589193,3.710418481204867,0.09588792771248152,-0.7775821917451498,-0.8456124671285377,0.9024133256526975,-0.1556428175760092,0.045564383269768416,-0.8139296588335326,-0.5419448634119063,dry
