Species,Site,Plot,Tree,TreeDBH
OVAT,GRA,A,4,64
OVAT,GRA,A,5,58.2
OVAT,GRA,B,1,19.8
OVAT,GRA,B,2,40.6
OVAT,GRA,B,3,49.9
OVAT,GRA,B,4,18.2
OVAT,GRA,B,5,41.5
OVAT,GRA,C,1,18.5
OVAT,GRA,C,2,14.8
OVAT,GRA,C,3,15.3
OVAT,GRA,C,4,20.5
OVAT,GRA,C,5,10.9
OVAT,MER,A,1,31.1
OVAT,MER,A,2,12.5
OVAT,MER,A,3,11.8
OVAT,MER,A,4,29.5
OVAT,MER,A,5,17.1
OVAT,MER,B,1,10.8
OVAT,MER,B,2,88.5
OVAT,MER,B,3,24.5
OVAT,MER,B,4,18.4
OVAT,MER,B,5,103.8
OVAT,MER,C,1,11.1
OVAT,MER,C,2,32.8
OVAT,MER,C,3,19.2
OVAT,MER,C,4,18.6
OVAT,MER,C,5,14.7
VIMI,EPF,A,1,32.1
VIMI,EPF,A,2,24.3
VIMI,EPF,A,3,25.9
VIMI,EPF,A,4,24.7
VIMI,EPF,A,5,13.5
VIMI,EPF,B,1,45.7
VIMI,EPF,B,2,50.7
VIMI,EPF,B,3,49.1
VIMI,EPF,B,4,51
VIMI,EPF,B,5,37
VIMI,EPF,C,1,33.7
VIMI,EPF,C,2,15.5
VIMI,EPF,C,3,41.5
VIMI,EPF,C,4,12.7
VIMI,EPF,C,5,52.8
VIMI,FREY,A,1,48
VIMI,FREY,A,2,26.3
VIMI,FREY,A,3,8
VIMI,FREY,A,4,42.7
VIMI,FREY,A,5,45.5
VIMI,FREY,B,1,25.9
VIMI,FREY,B,2,83
VIMI,FREY,B,3,41.3
VIMI,FREY,B,4,44.7
VIMI,FREY,B,5,30.1
VIMI,FREY,C,1,18.2
VIMI,FREY,C,2,21.8
VIMI,FREY,C,3,29.2
VIMI,FREY,C,4,24.2
VIMI,FREY,C,5,47.5
VIMI,GRA,A,1,35.5
VIMI,GRA,A,2,25.7
VIMI,GRA,A,3,55.5
VIMI,GRA,A,4,35
VIMI,GRA,A,5,38.3
VIMI,GRA,B,1,39
VIMI,GRA,B,2,36.4
VIMI,GRA,B,3,24.7
VIMI,GRA,B,4,82.7
VIMI,GRA,B,5,32.5
VIMI,GRA,C,1,14.5
VIMI,GRA,C,2,24.4
VIMI,GRA,C,3,68.1
VIMI,GRA,C,4,27.6
VIMI,GRA,C,5,58.2
VIMI,MER,A,1,26
VIMI,MER,A,2,32
VIMI,MER,A,3,15
VIMI,MER,A,4,37
VIMI,MER,A,5,14.5
VIMI,MER,B,1,82
VIMI,MER,B,2,89.3
VIMI,MER,B,3,26.5
VIMI,MER,B,4,69
VIMI,MER,B,5,109
VIMI,MER,C,1,20.3
VIMI,MER,C,2,53.2
VIMI,MER,C,3,18.9
VIMI,MER,C,4,17.5
VIMI,MER,C,5,9
VIMI,TMP,A,1,38.6
VIMI,TMP,A,2,15.9
VIMI,TMP,A,3,16.7
VIMI,TMP,A,4,11.5
VIMI,TMP,A,5,12.2
VIMI,TMP,B,1,9.2
VIMI,TMP,B,2,6.5
VIMI,TMP,B,3,9.5
VIMI,TMP,B,4,11.8
VIMI,TMP,B,5,12.4
VIMI,TMP,C,1,36.1
VIMI,TMP,C,2,20.2
VIMI,TMP,C,3,15.2
VIMI,TMP,C,4,15.2
VIMI,TMP,C,5,28
