Site,Focal_sp,Plot,Tree,Period,Growth,preceding_dbh,PPT,CMD,period_rainfall,period_md,daily_annual_cmd,daily_period_md,norm_md,monthly_period_md,anomaly,growth_no_negs,growth_rate,total_nbh_ba,number_neighbours,total_nci,intra_nci,inter_nci,PC1,PC2,log_total_nci,log_p1_intra_nci,log_p1_inter_nci,std_total_nci,std_intra_nci,std_inter_nci,std_preceding_dbh,std_ppt,std_cmd,std_daily_md,std_norm_md,std_period_ppt,std_period_md,std_daily_period_md,std_monthly_period_md,std_anomaly,std_PC1,std_PC2,site_climate
EPF,AMYG,A,1,1,44.01,269,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,44.01,0.11798927613941018,0.9171879752155401,3,40.404761904761905,0,40.404761904761905,-0.3174072086519978,2.309064807652367,3.698947646950858,0,3.723395896070915,-0.8877830871621768,-5.954646120125415,-0.8542935810889549,-0.8895534948521493,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,0.12862015670199575,2.2397054351029584,dry
EPF,AMYG,A,2,1,12.34,428,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,12.34,0.033083109919571044,0.35413995886672645,8,40.74348717254784,40.19403662309729,0.5494505494505495,-0.3174072086519978,2.309064807652367,3.707296002927101,3.718293503721491,0.43790038386131824,-0.8763474086072472,-0.861282899576953,-5.354804900708231,0.5356052574251472,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,0.12862015670199575,2.2397054351029584,dry
EPF,AMYG,A,3,1,25.73,513,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,25.73,0.06898123324396783,0.2618030529905786,10,26.177579365079364,14.883928571428571,11.293650793650793,-0.3174072086519978,2.309064807652367,3.2649032949800363,2.7653078163707407,2.5090829334653906,-1.4823422676578342,-2.166694170850544,-2.5176741011527857,1.29748257782496,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,0.12862015670199575,2.2397054351029584,dry
EPF,AMYG,A,4,1,49.51,343,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,49.51,0.13273458445040215,0.10644108609443917,5,13.048737373737373,0,13.048737373737373,-0.3174072086519978,2.309064807652367,2.5686913761175156,0,2.642532525103597,-2.4360217385475647,-5.954646120125415,-2.3348732434025945,-0.22627206297466534,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,0.12862015670199575,2.2397054351029584,dry
EPF,AMYG,A,5,1,26.76,218,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,26.76,0.07174262734584451,0.2788752528683489,14,39.932396270042744,9.521645021645021,30.410751248397727,-0.3174072086519978,2.309064807652367,3.687187931046165,2.353434565963717,3.447150230755709,-0.9038916876298688,-2.7308831094190724,-1.2326982202451109,-1.346679887092037,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,0.12862015670199575,2.2397054351029584,dry
EPF,AMYG,A,6,1,46.6,175,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,46.6,0.12493297587131368,0.29519504130558455,15,33.142039094365074,28.85687099560121,4.285168098763865,-0.3174072086519978,2.309064807652367,3.5008025398087734,3.3964149974575575,1.6649044255834275,-1.1592046411731864,-1.3021959538178143,-3.674039987632717,-1.7321001785884127,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,0.12862015670199575,2.2397054351029584,dry
EPF,AMYG,A,7,1,36.89,221,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,36.89,0.09890080428954423,0.20302542523824038,11,20.460841182209645,8.79360256041427,11.667238621795377,-0.3174072086519978,2.309064807652367,3.0185128731783264,2.2817293725521313,2.5390190243911155,-1.8198508347045763,-2.829105746894933,-2.476667283284461,-1.3197900993132199,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,0.12862015670199575,2.2397054351029584,dry
EPF,AMYG,A,8,1,11.78,676,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,11.78,0.031581769436997316,0.3116067213279376,5,14.708920187793426,3.4333333333333336,11.275586854460093,-0.3174072086519978,2.309064807652367,2.6884541252427665,1.4891517465595985,2.5076124814550935,-2.2719692825013147,-3.914788123936881,-2.519688344025042,2.758494380474012,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,0.12862015670199575,2.2397054351029584,dry
EPF,AMYG,B,1,1,4.9,361,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,4.9,0.013136729222520108,1.041254966892945,12,59.79925298267441,39.68622690416144,20.11302607851297,-1.9562213824706531,-0.5030101563820399,4.09099316895004,3.7058896298733948,3.049890199692649,-0.35075440975066874,-0.8782738753530674,-1.7768697949702903,-0.06493333630176386,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,-0.814674944204947,-0.5614667137690428,dry
EPF,AMYG,B,2,1,13.68,361,600.7278,692.2722,742.4,316.80000000000007,1.8966361643835616,0.8493297587131369,689.644,309.79999999999995,-379.84400000000005,13.68,0.036675603217158174,0.1600861368489751,11,15.586238319334885,6.617903780068729,8.968334539266158,-1.9562213824706531,-0.5030101563820399,2.7463883659072463,2.0305012373739584,2.2994135228047776,-2.1926102619410686,-3.173241071985001,-2.8048817849098633,-0.06493333630176386,-1.024040247398214,1.1979265917349091,1.197926591734909,1.1798280592378392,-0.6248767811562783,0.731225738896439,0.6688053165846685,0.7648049815674967,-0.12800025242131982,-0.814674944204947,-0.5614667137690428,dry
